userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,Isfake
25,1937,0,0,1,1,0,10,Yes
324,4122,0,0,1,0,4,15,Yes
15,399,0,0,0,0,3,12,Yes
14,107,0,1,1,0,1,10,Yes
264,4651,0,0,1,0,0,14,Yes
33,1470,0,2,1,1,4,13,Yes
420,4883,30,8,1,0,0,12,Yes
442,6662,0,396,1,0,0,11,Yes
816,7497,0,85,1,0,3,15,Yes
150,6631,1,0,1,1,3,8,Yes
235,7202,0,1,1,1,2,14,Yes
99,1358,0,1,1,0,3,7,Yes
59,6603,0,0,0,1,0,12,Yes
4,179,0,1,1,0,0,17,Yes
39,1022,58,0,0,0,3,30,Yes
8,23,0,0,0,0,0,10,Yes
622,364,26,2,0,0,0,9,Yes
37,207,0,0,0,0,0,15,Yes
66,244,34,0,0,0,0,11,Yes
32,4,0,1,1,0,2,10,Yes
27,354,0,0,1,1,4,10,Yes
47,106,0,0,0,0,3,11,Yes
25,136,0,0,0,1,2,8,Yes
5,243,0,1,0,1,0,12,Yes
0,848,0,0,0,1,4,9,Yes
232,6013,111,1,1,0,1,20,Yes
534,539,11,0,1,0,0,11,Yes
1,8,0,0,0,0,0,11,Yes
0,126,0,0,1,1,0,5,Yes
5,77,0,0,1,0,4,10,Yes
0,6,0,0,0,1,7,11,Yes
80,1844,16,1,1,1,0,9,Yes
87,851,53,0,1,0,0,8,Yes
29,1603,89,2,1,0,0,11,Yes
247,1749,0,3,1,0,4,10,Yes
290,2269,0,0,0,1,0,12,Yes
12,2721,16,1,1,1,0,13,Yes
46,2521,0,0,0,0,2,12,Yes
2,1973,13,0,0,1,1,11,Yes
8,1359,0,0,1,0,0,8,Yes
36,2004,10,6,0,1,2,13,Yes
37,1982,8,1,1,0,3,9,Yes
61,992,0,0,1,0,4,10,Yes
105,6802,17,0,1,0,0,6,Yes
607,7455,20,0,0,1,0,9,Yes
14,1725,0,0,1,1,4,9,Yes
69,3577,0,1,0,0,1,9,Yes
26,1919,0,0,0,0,0,12,Yes
12,1710,0,1,1,0,3,13,Yes
12,1377,0,0,0,0,5,15,Yes
51,3241,50,0,1,1,2,13,Yes
8,1709,0,0,1,1,2,7,Yes
514,1999,27,0,1,0,0,6,Yes
104,1423,53,0,0,0,0,13,Yes
83,2012,0,0,1,1,2,12,Yes
69,1374,9,0,1,1,1,7,Yes
282,2517,0,5,1,0,2,11,Yes
49,2499,23,1,1,0,4,17,Yes
14,3359,0,0,1,0,1,7,Yes
49,2987,0,0,0,0,0,8,Yes
20,3543,0,0,0,0,1,11,Yes
63,2318,0,0,1,0,4,9,Yes
5,964,0,1,1,0,0,9,Yes
58,826,0,0,1,0,4,12,Yes
110,1612,0,0,0,1,4,12,Yes
21,946,0,1,1,0,1,10,Yes
15,659,0,1,1,0,0,8,Yes
2,757,0,0,1,0,3,13,Yes
125,1396,15,0,1,1,2,12,Yes
